Character,Quote
Hank, Okay. (realizes he's in the Adult Section and he rushes out in horror) BWAHHHHH!
Boomhauer," Yeah, man, talkin 'bout that dang ol' Cuffs and Collars, man, like when they come over to clean that pool, man, it starts goin' wakka-wakka-wakka-wakka..."
Dale Gribble," Computers don't make errors. What they do, they do on purpose. By now, your name and particulars have been fed into every laptop, desktop, mainframe, and supermarket scanner that collectively make up the global information conspiracy, otherwise known as... ""the Beast""."
Dale Gribble, Who's not a quitter? My dead friend Hank Hill or my new friend Rusty Shackleford?
Hank," (phone rings) Strickland Propane. ""Taste the meat, not the heat."""
Matt, Hank?
Hank, Speaking.
Matt, How ya doin'? It's Matt.
Hank," Oh, hey, Matt. How ya been?"
Matt, Pretty good. Pretty good.
Hank, Uh-huh.
Matt," So, how's, uh, Peggy?"
Hank," Uh, she's fine, and how's uh, do I know you?"
Matt," Hank, if you like ""Cuffs & Collars"", you're gonna love ""Rugburn"", Too and by ""Rugburn"", Too I mean ""Rugburn"" also. ""Rugburn II"" isn't very good."
Hank," What? But, who is this?"
Matt," You know, Matt, from ""Consenting Adults"", the country's largest supply of mail order adult entertainment. How many can I put you down for?"
Hank," Zero. God, please, watch your mouth. This is an interstate phone line. How did you get this number?"
Matt, Not important. What is important is that we have a bigger selection and lower prices than Arlen Video.
Hank," What?! Arlen Video told you I rent pornography?! Uh, (Sees Buck Strickland and his co-workers and gasps), who plays the most hits? Y104! Heh, okay. Ah-heh, crazy morning zoo."
Luanne Platter Kleinschmidt,  Mama got outta prison! (runs to the garage)
Peggy Hill," (gasps and drops Ladybird's food dish in shock) Oh, I knew it! I just knew it! I told them medium security would not be enough to hold that woman!"
Luanne Platter," No, she didn't escape, She was released! She's coming to visit on Saturday!"
Hank Hill, Uh...she's coming here?
Luanne Platter," Oh, I can't wait to tell Daddy! Oh, we're gonna be a family again! (excitedly exits the garage)"
Peggy Hill, I will tongue-kiss Bill before I let that tramp in my house!
Bobby Hill, Whoa.
Hank Hill," Yeah, I was all set to start a TV cabinet on Saturday, but it's gonna hafta wait a day. Luanne's mama is coming to visit."
Dale Gribble, (spits out his beer in shock) That woman is a menace to society.
Bill Dauterive," Well, I dunno, I never met the lady, but she did her time."
Boomhauer," I tell you what, ain't no dang ol' lady 'bout her man. She get all liquored up man, all comin' on strong an' pawin' me like a dang ol' animal, man. I tell her ""no means no!"""
Hank Hill," Yeah, Leanne is bad news I tell you what. Peggy's brother was all set to marry a pretty pharmacist gal until Leanne ""entertained"" at his bachelor party. [sighs] So he marries Leanne and after 18 years of drunken hell, she stabs him with a fork."
"[Bill plays with a vice, until part of it falls of and hits his foot]",
Bill Dauterive, AAAAH! My foot! I think it's broken!
Hank Hill," Well, if it's broken then we have to get that shoe off."
Bill Dauterive," No, it's fine. I'll just go ON home."
Hank Hill, Don't be ridiculous.
Dale Gribble," I never thought I'd say this, but, I don't think I can finish my beer."
Bill Dauterive," It's some kind of Athlete's Foot. I've been using this spray for 10 years. ""Quick working"" my ass."
Hank Hill, What did the doctor say?
Bill Dauterive, The only person I showed this to was my ex-wife. She used it against me in the divorce.
Hank Hill," You don't have to fell embarrassed about your toes, Bill, it's just a medical condition."
Bill Dauterive," Sure, that's what you say. I don't see you waving your narrow urethra around."
Peggy Hill," Honey, marriage is about trust and she... well she betrayed him. It was like a knife in his heart when she stuck that fork in his back."
Leanne Platter," Oh, you have such a lovely home here. Of course if somebody turned on a fire hose it would all be ruined."
Hank Hill," Hey, Leanne. How's that job search coming along?"
Leanne Platter, Not so good. My best reference just went in for chemical castration.
Bill Dauterive, We're engaged!
Leanne Platter, It was supposed to be a surprise! (punches Bill and belches) I need a smoke!
Bill Dauterive, This is the happiest day of my life!
Peggy Hill, I will not have you running around all glammed up like Phyllis Diller!
Luanne Platter, You're not my mama! Mama is my mama!
Peggy Hill," Luanne, you are never gonna see her for who she is. Well, I am sorry, but I have not got time for pain. The next time that woman breaks your heart, I'm not gonna be waiting there to say ""I told you so."""
Luanne Platter," Mama, please!"
Leanne Platter, Will you quit callin' me that?! I might be 34.
Peggy Hill," Excuse me, ma'am, but that was my fork."
Peggy Hill," Leanne, whether you like the title or not, you are this girl's mother. She has been waiting her whole life for just a shred of attention from you. But you don't even know how to return a fraction of the love you get from your child or even from your man. I hope someday you can live without alcohol, but until that day we can all live very nicely without you."
Leanne Platter," I kicked your brother's ass and I will kick yours too, sissy!"
Peggy Hill," Well, there's one thing you didn't count on. My brother has got size 6 feet, but I don't! Ho-yeah!"
Bill Dauterive," If she doesn't come back, that means she and I weren't meant to be and if she does come back, well then... then I'll call the police."
Leon," Oh, no."
Hank,"Bobby, if you weren't my son I'd hug you."
Witchard," Bobby, I need a soda!"
Bobby," Yes, Mr. Witchard."
Witchard, Not that way! Just run across.
Bobby, But the track?!
Witchard, Don't back-talk the boss man! Ain't you ever cross the highway?! Run where there ain't any cars!
Bobby, They're going too fast!
Witchard, Do it you- you monkey boy! I'm the boss of you!
Hank, What the hell. BOBBY NO! What are you doing?
Bobby, I'm going to cross the track and bring Mr. Witchard a soda.
Hank, That's crazy! Why would you do something like that?
Bobby," I'm giving 110%, Dad."
Witchard," Go-to here, Go-to boy. I want a soda! Go-to now, you!"
Hank, BWAAAAAHHH!!!
Announcer, There's a crazy man on the track!
Hank, BWAAAAAHHH!!!
Announcer," Oh, and there goes Gordon into the wall!"
Pit crew guy, You're up!
Dale and Bill," Boomhauer, Boomhauer, Boomhauer, Yeah!"
Witchard, Ah! (laughing) You can't get me!
Hank, BWAAAAAHHH!!! (breaks the caged fence and chases after Witchard)
Witchard, (screams)
Bobby Hill, There's some milk in the fridge that is about to go bad....and there it goes.
Bobby Hill, There are 96 ridges on every checker...except this one.
Unidentified feminist singer,I met a guy in my boxing classand I slept with him before I kicked his ass!
Buckley," Sir, there's no yelling in the propane department. Some of these gases are extremely valublilous."
Boomhauer," Hey man, is this dang ol'  911? Hey listen, there's a dang  ol' fire in here, and dang ol' Mega-Lo-Mart went boom!"
911 Operator," Sir, you are going to have to speak a lot more slowly."
Boomhauer," Dang... ol'... Mega-Lo-Mart... done git went got it, and dang ol' boom!"
Peggy, HAAAAAANNNNNKKKK!
Bill, CHUUUUUCCCCCKKK!
Mega Lo Mart Employee, Buckley and Luanne are in there!
Hank, Mega-Lo-Mart?! Well why don't you just go to hell or work for the devil?!
Luanne," Good thing I don't have dangerous brain powers, or right now you'd be in a thousand little pieces!"
Wikipedia has an article about,
Seasons, 1 2 3 4 5 6 7 8 9 10 11 12 13 | Main
Dale Gribble," Find the body yet, Quincy?"
Investigator," We have some remains that we're analyzing, you needn't concern yourself."
Dale Gribble," Oh, I needn't, shouldn't I? And maybe I should not know that all Mega Lo Mart employees have a five thousand dollar insurance policy."
Investigator, That's nonsense. This is a very straightforward investigation.
Dale Gribble," Heh, that's what they want you to think."
Investigator," Sir, we are they."
Luanne Platter," (reference a picture of Bobby, in his underwear, grabbing a fry off the kitchen table while standing up to speak at Buckley's funeral) This is what a starving Irish child looks like! Fight the occupation!  Fight the Oc-cu-pa-tion!"
Bobby," (With his pants pulled up, in heavy Yiddish accent) ""What are you talkin' about?"""
Peggy Hill," Mix pineapple juice and club soda, and you've got yourself a big bucket of crap."
Peggy Hill," You hear the expression ""Lie like a dog"" so much it is almost a cliché."
Peggy Hill," Well, well, well Jo-hon Redcorn."
John Redcorn," Oh, Peggy. Nancy's headache's very severe this morning, um... must be the pollen."
Peggy Hill," Well, well, well."
John Redcorn, Well.
Peggy Hill, Jo-hon Redcorn.
John Redcorn, Pe-eggy Hill.
Cotton Hill, Tilly! Did you make this Stuffin'? 'CAUSE IT TASTES LIKE GARBAGE!
Hank Hill," (in a worried tone) Uh, Dad?"
Cotton Hill, Did I ever tell you about the time she tried to poison me with a baked Chicken?
Tilly Hill, (sighs) It was Chicken Almondine.
Cotton Hill," IT WAS CYANIDE, WOMAN!"
Hank Hill," (exasperated) Dad, could you please show Mom some respect while Bobby's in the room?"
Cotton Hill," You heard him, Bobby. Leave the room! (Bobby gets up to leave the room)"
Hank Hill, (frustrated) Sit down.
Bobby Hill," Grandpa, could you at least respect Grandmom until we get to dessert?"
Cotton Hill," Didi's your Grandmom too, Bobby..... Your pretty Grandmom! 'Course, bad as Tilly was in the Kitchen, she was even worse in the Bedroom! (Everyone is shocked, Tilly is especially mortified) I Said.... The Woman was lousy in the sack."
Bill Dauterive," (tapping glass with knife then getting up to propose a toast) To the Stuffing! Might taste like Garbage, but it sure fills you up!"
Cotton Hill, I'm goin' down to the corn dog shack to watch the girlies make lem-o-nade.
Bill," (in falsetto voice) Why do you keep calling me ""Bill?"""
Hank Hill," Bill, can't you see that this whole Lenore thing is your problem? The iguana, these presents, this old tree, get rid of the stuff!"
Bill Dauterive," No! No, I couldn't. I couldn't. See, when, when she comes back--"
Hank Hill," She's never comin' back, it's so obvious. She doesn't want this stupid stocking!﻿"
Bill, I'm a fireman! I'm a... [trips over cooler] ...hudafu.
Hank Hill," ""Heck, I thought I'd go ahead and sharpen all the axes."""
Dale Gribble, (singing) Hank's a lumberjack and he's okay...
Cheat Elderson," [to Dale] Hey, shades. Plug in my Alamo sign, will you?"
Hank Hill," Better not, Dale. It doesn't work right, remember?"
Dale Gribble," [as he sings, he sits back and tries to plug in the sign.] (singing) Be-a-bay, be-e-be, be-i-bickey-bi-be-o-bo-bickey-bi-bo--"
Hank Hill," I said ""not to."""
Dale Gribble, Be-u-bu...
Dale Gribble," Whatd'ya got under the foil, Mr. Party Pooper, some party poop?"
Dale Gribble," Yeah, man, I tell you what, man, dang ol' detector, man, government take away freedom of smoke, talkin' 'bout yo, man."
Hank Hill," Yeah, man, I tell you what, man, dang ol' boy ain't right, man, talkin' 'bout kick your ass, man."
Boomhauer," (speaking at normal spped very clearly) For God's sakes, Hank, act like an adult, man. And keep it down, guys, will you? I am trying to get through an article on vintage Camaros, and I've been on the same dang page for twenty minutes."
Bill," Dang ol' pretty pretty pizza, man, I tell you what."
Heck Dorland," I got bad news, men. Chet Elderson died. Natural causes. (Bill farts while his butt is hanging out the top of the fire pole) Oh, for cryin' out loud!"
Bill Dauterive, My face hurts.
Hank Hill, And it'll match your ass when I'm done kicking it!
Hank Hill," Bobby, I didn't think I'd ever need to tell you this, but I would be a bad parent if I didn't.  Soccer was invented by European ladies to keep them busy while their husbands did the cooking."
Bobby Hill, Why do you hate what you don't understand?
Hank Hill, I don't hate you Bobby!
Bobby Hill, I was talking about soccer.
Hank Hill," Oh yeah, I hate soccer."
Coach Sauers," You little pantywads think you're ready to play the Wolves again? The Wolves eat razorblades for breakfast! Run, you bunch of pudgy-butted softies! Run, with your fancy sneakers, with pumps, valves and lights on the back that can set off a seizure! But what do you care? I ran around the world in a pair of Chuck Taylors for the love of pete! Take a salt tablet."
Bobby," Coach, I think I swallowed too much mud."
Coach Sauers, Take a salt tablet.
Coach Sauers, I'm gonna ride you guys so hard your gonna wish you were all dead! I'm gonna chew ya up spit ya out take a big dump on top of that and then i'm gonna get tough! LETS ROLLLLLLL EM OUT!
Hank Hill," Boys, the Welton Wolves have already left their mark on this bridge. Now, what does a cougar do when a wolf comes into his neck of the woods?"
Bobby Hill, Beats him in football?
Hank Hill," Yeah, that's where I was gonna end up."
Hank Hill,  God bless America on three...One...two...three
Team & Hank Hill,  Gooooooood bless America!
Coach Sauers," Hey, butter ball, drag the body back!"
Hank Hill, Soccer was invented by european housewives as a way to keep busy while their husbands did the cooking
Peggy Hill (To a group of soccer moms), If we were in Canada you ladies would be snooty Quebecoise.
Kahn, Prepare your brain for razzle-dazzle!
Kahn Souphanousinphone," Minh, come quick! It's finally happening! Bobby Hillbilly marrying hillbilly cousin. You owe me five dollars. In your face!"
Luanne Platter Kleinschmidt, Uncle Hank! Bobby's trying to get out of marrying me!
Hank Hill," Bobby, you cut that out!"
Bobby, Mom! Dad! I've gotten Luanne pregnant!
Bobby, Mom! I don't want to do this!
Peggy," Well, of course you don't!"
Bobby," [Bobby is presenting Jesus' miracles in the form of a magic show] Now, for my next trick, I'm gonna need a large wooden cross and a couple of volunteers..."
Hank & Peggy, NOOOOOOOOOOOOO!!!!!
Hank," ""How's my driving?"" I'll tell you. Mom, get this number down. 1-800-EAT-SH... Uh, never mind."
Bobby Hill, I've got gout!
Dale," ""I killed eight gophers last year and a purebred Tennessee walking horse that was looking at me funny."""
Nancy, Arlen's a darlin'!
Hank, Cut!
Dale, You have bully-ragged this production and stifled my creativity from Day One. [checks his watch] It is now Day Two. I quit!
Dale Gribble, Boil up some Mountain Dew; it's gonna be a long night.
Dale Gribble, I know what YOU'RE HERE FOR!
John Redcorn, Dale! This isn't how I want you to find out!
Dale Gribble, Quit screwing with my mower.
John Redcorn, You've got to be kidding!
Dale Gribble," I don't kid about my mower. Now, you get inside and start massaging my wife."
John Redcorn, (to Nancy) He's taking some of the fun out of this.
Dale Gribble," Hank, you were right! The Cubans have my mower!"
Dale Gribble," What time is it, 3 AM, 4 AM?"
Nancy Gribble, It's six.
Dale Gribble, A.M.?!
Nancy Gribble, No.
Dale Gribble, Oh. Is dinner ready?
Dale Gribble, They wanted to see me wet my pants from fear... but they're too late!
Hank Hill, You are officially the coolest.
Dale Gribble," Too late, I killed Shackleford! (the police gasp) No...wait, correction, Shackleford wants a pizza."
Nancy Gribble," OK. I don't why you'd want to fool Dale like that. I mean, it's not hard. If you're someone he trusts. Hey, whatever turns you on, that's what I always say."
Bobby Hill, I'd like a one-way ticket to Mexico por favor. That means 'today.'
Hank Hill, What's that smell?
Bobby Hill, [unpopular] Nothing.
Hank Hill, Wait a minute. I know that smell. [Bobby gasps.] Fire!
Cotton Hill, Look for the man with the terrible smell!
Cotton Hill," I'm an old man. Everybody already hates me. But Bobby is just a child; he has his whole life ahead of him.... If I could take a bullet for my grandson, I would. Just not in the face; that's how I make my livings."
Cotton Hill, Ah leave it to a woman to turn god's house into a love shack.
Cotton Hill," Did I hurt your feelings, stinky? Well, get used to it! 'Cause that's what people are gonna call you when they find out about this."
Hank Hill," Yeah, he's right. And they'll call him worse than that! They'll call him arsonist! That's what they'll be calling him in the case of The State of Texas vs. Bobby Hill."
Dale," (After a trampoline falls on his foot) Aah! This is a sign that we have been playing God with Buckley's trampoline and now God is playing God with us, and He's a whole lot better at it. I refuse to touch this portal to hell!"
[Hank is hanging around Buckley's trampoline. Dale peeks out his window and yells,]
Dale," Run, Hank! Portal to Hell!"
Luanne," Where is he? Buckley always did this to me. One time we were supposed to go see Color Me Badd and he never showed up. I was looking forward to that concert all week and when I told him, he just said ""chicken beak."" [pause] He better not be guardianin' some other girl. Maybe I should drop out of beauty school."
Peggy," What? Luanne, you have wanted to go to beauty school since you were six. You have wanted to graduate beauty school since you were twelve. If you give up on school, honey, you are giving up on your dreams. ""Education is the sleeping pill that makes dreams happen."" - Peggy Hill."
Buckley, I just wanted to say I'm sorry I bailed out of the car.
Luanne, I knew you weren't really a jerk.
Buckley," Yeah. Well, I gotta go. Jesus is having a party tonight. It's gonna rock."
Luanne,"  There will probably be a lot of people there. But if you see Jesus, tell him I said thanks. [pause] Goodbye Buckley."
Buckley," Um, before I go - could I have one last kiss?"
Luanne," No, that part's over."
Buckley, Why?
Luanne, Chicken thigh.
Kahn," Buckley's Angel? Buckley's Angel! [runs by the trampoline] Oh, I'm so alone! I have to commute to Houston every day -- that city one big stinkhole! Did I make the right decision, Buckley's Angel? Oh, Buckley's Angel! Why you not come to me instead of that redneck little hot potato? Buckley's Angel? NOW!!! COME RIGHT NOW!!!"
Wikipedia has an article about,
Seasons, 1 2 3 4 5 6 7 8 9 10 11 12 13 | Main
1 Part II,Peggy Hill: The Decline and Fall [4.1]
9 Part I, Hanky Panky [4.13]
10 Part II, High Anxiety [4.14]
19 Transnational Amusements, Peggy's Magic Sex Feet [4.23]
Part II,Peggy Hill: The Decline and Fall [4.1][edit]
Bobby Hill, Push! Push!
Doctor, It's all right. The baby's here.
Didi Hill, What's his name?
Cotton Hill," Hank, what did you do to your wife?! I didn't teach you that!"
Cotton Hill," I'm callin' him ""Hank."" I've always wanted a boy named Hank."
Hank Hill," Uh... Dad, Hank is my name."
Cotton Hill," Not anymore, I'm takin' it back! HE'S Hank!"
Hank Hill, You can't take away a grown man's name.
Cotton Hill," All right, all right. I'm callin' him ""Good Hank."""
Hank Hill,"  Dad, this isn't right. If you call him Good Hank, it's gonna make it sound like I'm Bad Hank."
Cotton Hill,"  Well, you burnt my burgers, didn't you, B.H.?!?"
Cotton Hill, You wanna kill a Nazi? You wanna kill a Nazi? A Nazi-Squazzi?
Bill," (Trying to put on his old football helmet) Hank, how did my head get so fat?"
Carl Moss, We don't have money for all these fancy teaching aides... like wood.
Hank Hill," You know, the Carl Moss I knew wouldn'--"
Carl Moss," Give it a rest, Hank. All parents care about these days is zero-tolerance drug policies and literacy. ""Why can't Johnny read?"" ""Why can't Johnny read?"" God, that gets old."
Hank," But Carl, shop is the foundation of all learning. And I'll tell you what, a youngster with a tool in both hands has no hands left to do drugs."
Carl Moss, (exasperated) They'll just put the tools down if they want to do the drugs bad enough.
Hank," Using a saw for a weapon makes about as much sense as using a gun to cut a two-by-four. That's how my dad built my treehouse... how he cleaned it, too."
Hank," But that shouldn't stop you from pursuing your own dreams of wood, plywood, pressed fiberboard, and, if you've got the talent, metal! Y'see, shop doesn't have to happen in any special place - as long as it's well lit, and the outlets are grounded. Because shop is bigger than any classroom, or garage, or stupid policy that makes tools illegal - it's in our hearts."
Connie," Well, um, you see, uhh..."
Hank, What?
Hank," (Reading the note) 'Mr. Hill, I just got my first period.' Bwaaaaah!"
Peggy, Hank do you want to be in Charge?
Hank, No.
Hank(on phone)," No Mother Platter, I am not calling from the plane. Those phones are only for emergencies. We merely had a small delay on takeoff."
Peggy," Hank, is that my mother? I want to let her know to have all the ingredients for my brown betty, which I have made every year from 1976 until the year I die, inclusive. I will need margarine and not butter."
Ma Platter, Is that Peggy? Tell her we use butter in this house!
Peggy," She got butter, didn't she?"
Hank, It's a shame we have to put her in the ground.
Dale, I am the hoe master! hear me hoe! [nearly runs over Hank and Bill and damages Bill's wall]
Dale, (Talking into tape recorder) 10:15. Hank picks up Hal.
Bill, What?
Dale, (On tape recorder) 10:15. Hank picks up Hal.
Bill, (On tape recorder) What?
Dale," I said, ""10:15, Hank picks up Hal!"""
Hank," Bobby, you name a pet, you name a guitar, but you do not name a filthy animal!"
Dale," [while standing on a tree branch]  This...isn't...over. So long, suckers! [caws like a bird]"
Dale," [while laying face down in the dirt] Hank, I can see your house from up here."
Bobby," Well, I need a window seat because this flower is wiltin'."
Hank," Oh, Lord. All right, everyone in the car now."
Bobby, [dressed up as a hotel waiter] I do believe I'll give room service a jangle and have them send up some etouffe. [stares at Hank]
Bobby, Noooooo!!!!! [Hank throws his clothes out the window.]
Dale Gribble, How could you do this to me Puff-puff
Dale Gribble, My gerbil screwed me!
Chappy," I live in a shack, I poop in an outhouse, I eat what I kill."
Hank Hill," There isn't a Mrs. Chappy, is there Chappy?"
Part I, Hanky Panky [4.13][edit]
Luanne Platter, (sighs) Mr. Strickland's wife is beautiful.
Hank Hill, That's NOT his wife. That's Debbie from work. 'Pretty girl like that should have been able to get a date.
Hank Hill," The ""S"" stands for service. The ""T"" is for trust. (Mr. Strickland and Debbie make out) ""R"" is for reliability. (doors are heard opening and closing) Now the ""I"", that stands for..."
Woman's voice{offscreen}, Jackass!
M.F. Thatherton{offscreen}," Oh ho, it's Miss Strickland! This ought to be good!"
Hank Hill," No, heh, heh. It's for integrity. That's not even the right letter."
Mr. Strickland," Now, now Miz Liz. We're in public."
Miz Liz, YOU ARE IN PUBLIC WITH THIS LITTLE BIMBO... IN FRONT OF HALF OUR CHRISTMAS CARD LIST! (notices Debbie's earrings) Are those my mother's earrings?!
Hank Hill," ""C"" is for compassion...."
Miz Liz, I WANT YOU OUT OF THE HOUSE!!
Mr. Strickland, But Miz L...
Miz Liz, AND OUT OF THE LAKE HOUSE!!
Mr. Strickland, The lake house?
Miz Liz, Please forgive me for stealing your thunder Hank. Please continue.
Hank Hill," Okay now, where was I?"
M.F. Thatherton," ""D"" for done."
Part II, High Anxiety [4.14][edit]
Bobby Hill," Dad! Dad, the police are lookin' for you!"
Hank Hill," (whispering to himself) Oh, god! Debbie's hippie roommate turned me in for smokin' narcotics!"
Peggy Hill, Haaaank!
Buck Strickland," No coincidence. I like to hump, I like to eat, and I don't like to drive."
Hank Hill, I am inducing vomiting!
Hank Hill, How long does it take Debbie to throw in a load of laundry? I really need to talk to her.
"Debbie's roommate, Gale", She should be right up. Debbie said you were gonna... HEYYYY!
Hank Hill," No, we were not. It was a trick."
Debbie's roommate, Is $300 too much for a Hot Wheels VW Purple Evil Weevil?
Hank Hill," (sighs) Yeah, I could use one too."
"Debbie's roommate, Gale"," Damn, the ebay auction closed. I lost my weevil."
Hank Hill," Dang it. Could I get a light off yours? Huh, that's a funny looking cigarette. You roll it yourself?"
"Debbie's roommate, Gale", Yeah.
Hank Hill," You got a weak flame on this thing. (Hank breathes it and coughs) This isn't one of them clove cigarettes, is it?"
"Debbie's roommate, Gale"," No man. That's the chronic, from Mexico."
Hank Hill," Huh, damn NAFTA. It's clearly an inferior tobacco."
"Debbie's roommate, Gale"," So, does your wife party too?"
Hank Hill," Party? Uh, we throw a party for Fourth of July and Labor Day."
Debbie's roommate," No, I mean party, you know. Get high. Get stoned."
Hank, BWAHHHHHHH!
Hank Hill, It's a side effect of the marijuana poisoning!
Luanne, My class was cancelled and the library was closed. I love college.
Dale Gribble," C'mon, I'm not leaving without my kiss. I can wait.... I can destroy you."
Bobby, Mrs. Johnson's bag has six puppies. Mr. Peterson's bag has minus four puppies...
Joseph, Why don't your doors have keyholes?
Bobby," You're really starting to creep me out, now go home!"
Luanne," Bobby, it's perfectly natural to want to see a woman naked, but I am your cousin. Now, the first time was an accident, but if I catch you again, you are going to hell."
Bobby, Are you crazy? We're going to get caught. I could go to hell!
Joseph, I can't help myself. I've got a monkey on my back and it wants to see Luanne naked!
Dale Gribble," Hey you, crazy guy. I'll give you a smoke if you trade clothes with me."
Dale Gribble, Infiltration of mental hospital complete. Proceed to phase two; exfiltration of mental hospital.
Dale Gribble, Apparently this door has some kind of anti-opening device.
Dale Gribble," ...which is why so many people are suddenly allergic to peanuts. The peanuts are emitting toxins as an evolutionary defense mechanism. They're tired of being eaten, and now they're fighting back."
Psychiatrist, I see.
Dale Gribble," Anyhoo, I just stopped by to pick up my buddy Boomhauer. You see, we're both in here by mistake. Now I can't vouch for Boomhauer, but I am most definitely not crazy."
Psychiatrist, Go on.
Dale Gribble," Did you just say, ""Go Mom""? Now who's the crazy one?"
Bill," (In a self-help class in a mental hospital) It's just that in the alley, no one cares what I have to say, but here, I feel heard and accepted and dare I say... loved?"
Dale," We gotta get out of here. The smoking breaks are too short, the food is good at best and the anti-depressants are making my mouth dry and happy."
Bill, (shouting) Can I get some glitter please?
Bill, Why don't we just call Hank?
Dale," No. Hank must never know we were in here. Our society stigmatizes the mentally ill... and rightfully so, these people are nuts!"
Hank, (Hank realizes he's all alone and sighs. Then he sees Khan starting to build a fence.) Hey Khan. I thought I heard someone mixing concrete.
Khan," Oh, that's right. I'm building fence. Big fence. Eight feet tall between your house and my house."
Hank," Eight feet huh? Yeah, you see Khan, in this neighborhood, side fences have to be 5'6 or under. It's not in the code or anything, it's just something I'm trying to enforce."
Khan," You really want to help me, Hank Hill? You keep your dirty little boy's hands off my innocent genius daughter!"
Hank, Now what's that supposed to mean?
Khan," Last night, I catch Bobby half-naked in Connie's room!"
Hank, Bobby?!
Khan," The truth about your little boy not so pretty after all, is it, Hank Hill?! He girl-crazy sex-fiend!"
Hank," Well, that boy's gonna get a talking to, I tell ya what! (Hank walks away and secretly laughs) Whew."
Luanne Platter," Aunt Peggy, Mister Kahn saw me naked!"
Joseph, (driving by on his bike) Oh man!
Dale Gribble," The only thing your roommates (ie: enemies) will understand is fear (ie: psychological warfare (ie: dirty tricks)). It worked for Dick Nixon. For example, get ahold of some goat's blood. Taint that blood. Then when your roommates need blood, give them the tainted goat's blood. It's a perfect plan."
Luanne, I don't want to hurt anyone... I just want them to do the dishes.
Dale Gribble," Oh, well in that case stack the dishes in the shower. That's the way Nancy gets me to do them."
Hank," So you found yourself a project. Do you get the same, uh, high I get from lawn care?"
Hank," Of course, I'm still in the propane business."
Peggy, Let's practice. I'll be Kahn. [clears throat] You are a dumb redneck!
Hank, That sounds more like Mihn.
Peggy," [still imitating Kahn] Well, leave my wife out of this hillbilly!"
Hank," [chuckles] He, he. I wish they'd move."
Hank, [seeing Bobby meditating like a sumo] No way. No got-dang way!
Dale, Let go of my finger!
Bill, You let go of my beer!
Dale," So help me, Bill don't mess with my trigger finger!"
Bill," Oh, what are you going to do, shoot me with my beer? I don't think so!"
Peggy Hill, Oh yeah? Well my child is God to billions of Asians!
Hank," Oh God, I need a hair net!"
Joe Jack," ""Baby did a bad, bad thing."""
Bobby Hilll," ""... Not like butane and those other bastard gasses."""
Dale," Wait a minute. I have a wife; We're a couple! [starts doing a martial dance while singing] I get a free meal! I get a free meal! [to Hank] He, Ha."
Hank, Guess who's joining us for dinner?
Peggy, Dale and Nancy?
Hank, She already told you?
Peggy," [Surprised] Oh my god! Hank, I was joking!"
Dale Gribble," Wait a minute. Every time I leave, you call John Redcorn. I know what's going on here. Your headaches are a desperate bid for my attention. But what do I do? I pawn you off on some Indian healer so I can have my Dale time at the gun club, or breeding show turtles, or on the Internet investigating unexplained phenomenonon. God, I am so selfish!"
Dale," [while forming a line while skating with Nancy] Love train! Woo, woo!"
Dale," Aw, I've been at John Redc- uh, the gun club ... playing Russian Roulette."
Nancy, Did you win?
Dale," You're not familiar with the game, are you?"
Nancy, No...
Dale," Yeah, I won."
Hank Hill, Still?
Bobby Hill, Dad! I just took a thirty second shower and I'm gonna dry myself off on the lawn!
Kahn Souphanousinphone, I use secret Asian watering technique! I could spit in a thimble and water Central Park.
Hank Hill," Well, I don't know. My toilets have given 15 years of dependable service. I'm not one of those guys who turns 40 and runs out and buys fancy new toilets."
Hank Hill,"..But, unfortunately, in the real world, where things don't flush like they do in the movies..."
Hank, Where do I register to run for the zoning board?
Bureaucrat, Fill out this form.
Hank, When will the election be?
Bureaucrat, There is no election. There has been a vacancy on the zoning board for the past three years. The seat is yours.
Bobby, We won!
Hank," No Bobby, Arlen won."
Transnational Amusements, Peggy's Magic Sex Feet [4.23][edit]
Bobby, I don't need a babysitter.
Hank," Dammit, Dale. Turn that thing off!"
Dale, I'm just testing my new sound card.
Wikipedia has an article about,
Seasons, 1 2 3 4 5 6 7 8 9 10 11 12 13 | Main
12 Kidney Boy and Hamster Girl, A Love Story [5.20]
Dale," ""That makes a whole lot of sense... A whole lot of nonsense!"""
Kahn," [Answering a knock at the door] Use doorbell, you idiot. [Kahn opens the door and sees Joseph standing there] Connie, it's for you!"
Connie," If it's Bobby, slam the door in his face!"
Kahn," Oh, I wish it was, so I could!"
Bobby," [about Connie] Connie, I rehearsed an apology but I'm gonna throw it away because nothing says ""I'm sorry"" like ""I'm sorry."" Connie, I rehearsed an apology but... [drops the piece of cake and sees her kissing Joseph out the window]"
Minh," Boy, that little hillbilly pack quite a wallop. You want some neproxin?"
Joesph," No, I'm okay."
Minh," How did tall, dark, and handsome get butt-kicked by short, fat, and redneck?"
Joesph, [sighs and stares at Minh and kisses her]
Connie, Joseph? [Minh is laughing] What's going on?
Minh," Oh, you so cute. Kahn gonna get a big kick out of this."
Connie, Joseph? How could you? [throws a towel at him and runs away]
Joesph," Sorry, I just... I thought you liked me."
Minh, Oh yeah. You rock my world [laughs]
Didi Hill," Sorry I'm late; I had to take three buses to get here: one to get here, one to go back and get G.H., and one to get here."
